poll_code,displayType,categories
poll_14,text,Dating and Relationship
poll_15,text,Lifestyle
poll_16,text,Would You Rather
poll_21,text,Hypothetical
poll_23,text,Would You Rather
poll_28,text,Would You Rather
poll_29,text,Lifestyle
poll_30,text,Travel and Geography
poll_31,text,Other
poll_34,text,Other
poll_37,text,Internet
poll_38,text,Language and Names
poll_39,text,Internet
#N/A,text,Random
#N/A,text,Lifestyle
poll_43,text,Lifestyle
poll_44,text,Movies and TV
poll_45,text,Current Events
poll_51,text,Hypothetical
poll_53,text,Hobbies
poll_54,text,Dating and Relationship
poll_55,text,Internet
poll_58,text,Other
poll_59,text,Other
poll_60,text,Lifestyle
poll_61,text,Philosophy and Religion
poll_62,text,Hypothetical
poll_63,text,Other
poll_64,text,Dating and Relationship
poll_65,text,Other
poll_67,text,Hypothetical
poll_68,text,Movies and TV
poll_72,text,Random
poll_72,text,Internet
poll_73,text,Other
poll_74,text,Dating and Relationship
poll_75,text,Trivia
poll_76,text,Philosophy and Religion
poll_77,text,Dating and Relationship
poll_80,text,Lifestyle
poll_81,text,Dating and Relationship
poll_83,text,Dating and Relationship
poll_86,text,Other
poll_87,text,Other
poll_89,text,Would You Rather
poll_90,text,Other
poll_91,text,Other
poll_92,text,Dating and Relationship
poll_96,text,Other
poll_99,text,Other
poll_102,text,Dating and Relationship
poll_104,text,Other
poll_105,text,Lifestyle
poll_111,text,Lifestyle
poll_115,text,Other
poll_116,text,Other
poll_117,text,Other
poll_118,text,Other
poll_120,text,Lifestyle
poll_124,text,Other
poll_128,text,Other
poll_130,text,Sports
poll_131,text,Philosophy and Religion
poll_134,text,Random
poll_134,text,Hypothetical
poll_138,text,Hypothetical
poll_143,text,Lifestyle
poll_146,text,Random
poll_146,text,Would You Rather
poll_147,text,Lifestyle
poll_152,text,Dating and Relationship
poll_153,text,Dating and Relationship
poll_154,text,Dating and Relationship
poll_158,text,Other
poll_159,text,Other
poll_160,text,Celebrities
#N/A,text,Random
#N/A,text,Other
poll_162,text,Dating and Relationship
poll_169,text,Random
poll_169,text,Other
poll_171,text,Other
poll_175,text,Dating and Relationship
poll_176,text,Other
poll_177,text,Would You Rather
#N/A,text,Random
#N/A,text,Hypothetical
#N/A,text,Random
#N/A,text,Other
poll_178,text,Internet
poll_180,text,Other
#N/A,text,Random
#N/A,text,Other
poll_181,text,Food and Drinks
poll_185,text,Lifestyle
poll_186,text,Dating and Relationship
poll_188,text,Lifestyle
poll_189,text,Technology
poll_190,text,Hypothetical
poll_191,text,Lifestyle
poll_192,text,Random
poll_192,text,Dating and Relationship
poll_193,text,Other
poll_195,text,Dating and Relationship
poll_197,text,Would You Rather
poll_198,text,Internet
poll_199,text,Other
poll_201,text,Dating and Relationship
poll_202,text,Gaming
poll_204,text,Dating and Relationship
poll_205,text,Hypothetical
poll_209,text,Random
poll_209,text,Internet
poll_210,text,Dating and Relationship
poll_212,text,Hypothetical
poll_215,text,Celebrities
poll_216,text,Dating and Relationship
poll_220,text,Would You Rather
poll_221,text,Other
poll_224,text,Would You Rather
poll_225,text,Lifestyle
poll_227,text,Trivia
poll_229,text,Internet
poll_232,text,Dating and Relationship
poll_233,text,Other
#N/A,text,Random
#N/A,text,Philosophy and Religion
poll_234,text,Other
#N/A,text,Random
#N/A,text,Would You Rather
poll_236,text,Hypothetical
poll_243,text,Lifestyle
poll_244,text,Random
poll_244,text,Other
poll_246,text,Other
poll_249,text,Lifestyle
poll_253,text,Lifestyle
poll_255,text,Other
poll_257,text,Philosophy and Religion
poll_259,text,Trivia
poll_261,text,Other
poll_265,text,Dating and Relationship
poll_266,text,Other
poll_267,text,Other
poll_268,text,Other
poll_270,text,Other
poll_272,text,Other
poll_273,text,Other
poll_274,text,Other
poll_275,text,Other
poll_277,text,Lifestyle
poll_278,text,Other
poll_279,text,Hobbies
poll_282,text,Other
poll_283,text,City Musings
poll_284,text,Movies and TV
poll_285,text,Random
poll_285,text,Dating and Relationship
